   3660	      1	      0	      1	      2	      1	      2	      0	      1	      1	      1	   0
   2362	      1	      0	      0	      1	      1	      0	      0	      0	      1	      0	   0
  12553	      5	      2	      1	      6	      3	      5	      1	      1	      2	      1	   0
  15865	      7	      3	      1	      5	      5	      3	      0	      2	      5	      1	   0
   2786	      2	      1	      0	      1	      2	      2	      0	      1	      1	      1	   1
   2695	      2	      0	      0	      0	      0	      1	      0	      0	      2	      0	   0
   3511	      1	      1	      0	      3	      1	      1	      0	      1	      1	      0	   0
   5676	      2	      0	      0	      4	      4	      1	      0	      0	      2	      1	   1
  20297	      6	      4	      1	     11	      3	      2	      0	      1	      9	      1	   0
   2236	      2	      1	      0	      1	      0	      1	      0	      0	      3	      0	   0
   7034	      4	      0	      1	      2	      2	      2	      0	      0	      2	      1	   0
   8505	      3	      1	      1	      7	      2	      3	      0	      1	      1	      1	   1
   3609	      1	      1	      0	      2	      1	      1	      0	      0	      2	      0	   0
   2275	      1	      1	      0	      0	      0	      1	      0	      0	      1	      0	   0
   9179	      5	      1	      0	      3	      1	      4	      0	      0	      1	      1	   0
   5258	      2	      1	      1	      7	      1	      2	      0	      0	      1	      1	   1
   3672	      1	      0	      0	      0	      1	      2	      0	      0	      1	      0	   0
   6466	      4	      1	      0	      8	      4	      4	      0	      1	      3	      1	   0
   7044	      2	      2	      2	      6	      2	      3	      0	      1	      2	      2	   0
   5022	      1	      1	      0	      2	      1	      1	      0	      1	      3	      1	   0
   2452	      2	      1	      0	      2	      0	      1	      0	      0	      1	      0	   1
   2272	      1	      1	      0	      1	      0	      0	      0	      0	      1	      0	   0
   2040	      1	      0	      0	      2	      0	      1	      0	      0	      1	      0	   0
   2230	      2	      1	      0	      0	      0	      0	      0	      0	      2	      0	   0
  17390	      4	      4	      1	     12	      5	      4	      0	      1	      5	      1	   0
  23801	     13	      4	      1	     13	      4	      7	      1	      1	      7	      2	   0
   2460	      1	      0	      0	      3	      0	      0	      0	      0	      1	      1	   0
   7027	      3	      1	      0	      2	      4	      1	      0	      0	      3	      1	   0
  19709	     10	      4	      1	     12	      7	      5	      1	      1	      7	      2	   0
   2611	      1	      1	      0	      1	      1	      2	      0	      0	      2	      0	   0
   3123	      1	      0	      0	      1	      1	      0	      0	      0	      1	      0	   0
  14139	      4	      2	      1	      4	      2	      3	      1	      1	      3	      1	   0
   2087	      1	      1	      0	      1	      1	      0	      0	      0	      1	      0	   0
   2899	      1	      1	      0	      2	      1	      1	      0	      0	      2	      0	   0
  21622	      7	      4	      2	     14	      6	      4	      3	      1	      8	      1	   1
   8837	      5	      2	      0	      1	      1	      4	      0	      0	      4	      0	   0
   2119	      1	      0	      0	      2	      1	      1	      0	      0	      1	      1	   0
   2458	      1	      0	      0	      0	      1	      3	      0	      0	      2	      0	   0
  10092	      4	      3	      0	      7	      2	      2	      0	      0	      4	      1	   0
   2092	      1	      0	      0	      2	      1	      1	      0	      0	      1	      0	   0
  10222	      5	      3	      1	      7	      3	      3	      1	      2	      3	      1	   1
   8238	      2	      3	      0	      3	      2	      1	      0	      0	      2	      1	   0
   6929	      2	      1	      1	      7	      2	      1	      0	      1	      4	      0	   1
  18966	      9	      3	      1	     19	      4	      5	      2	      2	      7	      1	   1
   5291	      1	      1	      0	      5	      3	      1	      0	      1	      1	      1	   0
